CountryName,Series,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
BurkinaFaso,Female_education,74.28184,78.47821,81.77779,84.26593,86.17988,87.20173,90.09287,92.92847,95.27731,94.28289
Cameroon,Female_education,100.18631,99.69366,104.25835,86.13969999999999,106.69805,109.93873,109.98694,104.50628,98.0121,100.20982
Chad,Female_education,69.10147,75.72748,79.79502,86.31782,87.31285,79.44822,75.46867,67.69158,78.49581,78.04171
GambiaThe,Female_education,80.83389,79.40871,83.00192,84.78002,89.10555,93.01692,95.40293,99.07141,102.46346,106.93159
Guinea,Female_education,76.02468,80.25109,81.51326,83.32955,84.98477,86.55562333333334,82.36128,86.56382,92.07886,93.08539666666665
Mali,Female_education,76.95044,78.27162,75.42195,87.51440666666667,72.40482,71.5374,72.29217,75.63831,71.60267,78.11098333333332
Niger,Female_education,55.93311,59.80711,62.065,62.91551,63.75036,65.56293,67.52597,69.24308,81.79193,62.00835
Nigeria,Female_education,80.96385,87.459,90.86255,92.89585,89.42713,90.00009,82.17733,86.56382,92.07886,96.26609666666666
Senegal,Female_education,86.44265,92.01571,91.49765,89.37315,90.46086,89.78162,84.87715999999999,86.56382,92.07886,87.58381
